,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
0,3/31/2022,47078.02,47624.09,45831.77,45503.95,16243.57246,1648684800,45831.77,45831.77,45831.77
1,3/30/2022,47448.41,47717.01,47078.03,46544.89,12672.44585,1648598400,46454.9,47701.16,45208.64
2,3/29/2022,47146.92,48124.94,47454.19,46589,15776.65109,1648512000,46787.99667,48174.74458,45401.24875
3,3/28/2022,46850.01,48240,47144.92,46662.28,18787.66319,1648425600,46877.2275,48117.32751,45637.12749
4,3/27/2022,44538.21,46950,46850.01,44437.22,10356.10317,1648339200,46871.784,47981.17687,45762.39113
5,3/26/2022,44336.19,44820.58,44539.42,44091.09,7305.17828,1648252800,46483.05667,48494.97264,44471.14069
6,3/25/2022,44012.36,45130.91,44331.85,43605.8,19128.13735,1648166400,46175.74143,48570.77204,43780.71081
7,3/24/2022,42899.71,44241,44012.29,42627.48,21827.93264,1648080000,45905.31,48563.67013,43246.94987
8,3/23/2022,42376.03,43036.95,42899.71,41766.79,13745.27564,1647993600,45571.35444,48709.90696,42432.80193
9,3/22/2022,41017.7,43389.79,42378.26,40885.19,19913.28661,1647907200,45252.045,48792.66182,41711.42818
10,3/21/2022,41287.24,41578.33,41017.71,40509,10996.47661,1647820800,44867.10545,49029.253,40704.95791
11,3/20/2022,42232.05,42330.1,41287.24,40918.72,7621.030367,1647734400,44568.78333,49018.01668,40119.54998
12,3/19/2022,41781.37,42429,42232.26,41534.89,8630.972839,1647648000,44389.05077,48841.41139,39936.69015
13,3/18/2022,40950.23,42396.04,41774.98,40130,17181.15227,1647561600,44202.33143,48699.05063,39705.61223
14,3/17/2022,41127.96,41486,40950.33,40521,15717.77422,1647475200,43985.53133,48622.83433,39348.22833
15,3/16/2022,39298.11,41717.67,41127.97,38850,22805.4826,1647388800,43806.93375,48505.27055,39108.59695
16,3/15/2022,39678.51,39900,39298.1,38135,14924.67642,1647302400,43541.70824,48569.42433,38513.99214
17,3/14/2022,37793.4,39906.39,39674.17,37560.4,13566.81094,1647216000,43326.845,48524.23877,38129.45123
18,3/13/2022,38815.56,39318.19,37793.01,37580.86,8046.376125,1647129600,43035.59053,48665.76552,37405.41553
19,3/12/2022,38732.33,39472.17,38813.02,38654.02,5644.146868,1647043200,42824.462,48612.52267,37036.40133
20,3/11/2022,39431.4,40251.51,38732.04,38234.08,15908.57521,1646956800,42469.4755,48346.41245,36592.53855
21,3/10/2022,41949.28,42053.84,39433.71,38560.85,20814.01456,1646870400,42087.2595,47704.14931,36470.36969
22,3/9/2022,38749.16,42597.84,41953.97,38655.98,24651.67344,1646784000,41812.2485,46860.98018,36763.51682
23,3/8/2022,37991.05,39376.65,38749.38,37851.54,19132.76914,1646697600,41392.4715,45972.16541,36812.77759
24,3/7/2022,38406.82,39556.58,37994,37161.88,19544.28415,1646611200,40949.671,45016.89162,36882.45038
25,3/6/2022,39407.87,39730.5,38408.38,38091.02,10099.98545,1646524800,40643.119,44500.67774,36785.56026
26,3/5/2022,39166.5,39600,39402.43,38587.27,8440.516389,1646438400,40396.648,43892.9721,36900.3239
27,3/4/2022,42464.41,42524.87,39166.51,38577.01,24080.60599,1646352000,40154.359,43265.23361,37043.48439
28,3/3/2022,43916.47,44096.45,42464.41,41811,19278.28225,1646265600,40132.594,43171.59428,37093.59372
29,3/2/2022,44440,45426.45,43912.34,43342.16,17466.98591,1646179200,40209.298,43535.05829,36883.53771
