,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
0,2016-01-02,435.67,437.56,435.4,432.41,3276.70962113,1451692800,435.4,435.4,435.4
1,2016-01-03,435.4,435.75,431.91,425.02,3904.33531811,1451779200,433.655,437.14499999999987,430.1650000000001
2,2016-01-04,431.9,435.79,433.85,431.37,5894.44572317,1451865600,433.72,436.57549762154804,430.864502378452
3,2016-01-05,433.84,435.64,433.34,430.0,5150.10947569,1451952000,433.625,436.1197344548067,431.1302655451933
4,2016-01-06,433.32,433.46,430.87,428.15,5476.95995944,1452038400,433.07399999999996,436.21033161511974,429.93766838488017
5,2016-01-07,430.66,460.15,459.07,430.64,13907.20172902,1452124800,437.4066666666667,456.99332425686197,417.8200090764714
6,2016-01-08,459.07,464.4,454.44,447.53,8347.0950396,1452211200,439.84000000000003,461.54111781189425,418.1388821881058
7,2016-01-09,454.41,456.0,450.38,447.66,4247.63965095,1452297600,441.1575,462.6208123026247,419.69418769737536
8,2016-01-10,450.39,451.39,449.99,442.96,3954.32239952,1452384000,442.1388888888889,463.1224008170554,421.15537696072244
9,2016-01-11,449.99,452.65,449.19,445.88,5597.63718315,1452470400,442.84399999999994,463.19530305410433,422.49269694589555
10,2016-01-12,449.26,449.44,434.01,431.83,6596.94545292,1452556800,442.04090909090905,462.0988605036539,421.9829576781642
11,2016-01-13,434.01,437.5,432.77,425.0,9009.15070912,1452643200,441.2683333333334,461.14437558413255,421.3922910825342
12,2016-01-14,432.7,435.27,430.03,428.0,5673.63296245,1452729600,440.40384615384613,460.4173485782081,420.3903437294842
13,2016-01-15,430.04,430.29,357.53,357.3,28641.67358553,1452816000,434.4842857142857,481.3252126993095,387.64335872926193
14,2016-01-16,357.59,391.0,388.7,350.92,17985.23878449,1452902400,431.43199999999996,482.12245311824836,380.74154688175156
15,2016-01-17,388.7,391.0,378.46,372.0,8278.40179348,1452988800,428.12125,483.4980578147342,372.74444218526577
16,2016-01-18,378.47,386.1,384.89,370.1,8711.45975604,1453075200,425.57823529411763,483.024612637656,368.1318579505793
17,2016-01-19,384.79,385.5,375.27,370.0,8133.36701034,1453161600,422.7833333333333,483.1814175560782,362.3852491105884
18,2016-01-20,375.28,425.1,418.54,369.0,13874.69165931,1453248000,422.55999999999995,481.37771448162624,363.74228551837365
19,2016-01-21,418.89,424.78,409.38,403.21,8739.16341887,1453334400,421.901,479.51655966924216,364.28544033075787
20,2016-01-22,409.02,413.99,382.9,373.86,13430.10303924,1453420800,419.276,478.93973451268374,359.6122654873163
21,2016-01-23,382.93,398.72,387.5,382.55,6310.0300222,1453507200,417.05549999999994,477.9657452712185,356.14525472878137
22,2016-01-24,387.5,406.93,403.05,387.49,3550.83177183,1453593600,415.5155,476.20644939939564,354.8245506006043
23,2016-01-25,403.04,403.04,391.4,386.41,6491.99981186,1453680000,413.41849999999994,474.39858372411436,352.4384162758855
24,2016-01-26,391.4,397.0,391.54,387.78,6981.00990035,1453766400,411.45200000000006,472.59057132776337,350.31342867223674
25,2016-01-27,391.7,397.18,394.79,390.7,6324.16419027,1453852800,408.238,465.67174777950686,350.80425222049314
26,2016-01-28,394.6,395.0,379.61,377.12,9103.71549887,1453939200,404.49649999999997,459.08246532992706,349.9105346700729
27,2016-01-29,379.63,385.05,378.68,363.25,12105.31043689,1454025600,400.9115,452.2968863564341,349.5261136435659
28,2016-01-30,378.68,382.04,378.46,375.0,4154.2964224,1454112000,397.335,444.32826185741953,350.3417381425804
29,2016-01-31,378.46,382.5,367.95,365.0,5506.77681302,1454198400,393.273,435.4307362295463,351.11526377045374
30,2016-02-01,367.89,379.0,371.33,366.26,7931.22922922,1454284800,390.139,428.89961552658826,351.37838447341176
31,2016-02-02,371.33,374.41,372.93,371.17,6856.21815799,1454371200,387.147,421.2399107586899,353.05408924131007
32,2016-02-03,372.93,373.01,368.87,365.63,7147.95657328,1454457600,384.089,412.79336405844924,355.38463594155075
33,2016-02-04,368.87,390.63,387.99,368.74,8887.7572324,1454544000,385.61199999999997,411.62410994902166,359.5998900509783
34,2016-02-05,387.99,389.36,384.5,382.99,7443.92933224,1454630400,385.402,411.3787901019351,359.42520989806485
35,2016-02-06,384.44,384.54,375.44,370.05,6276.66473729,1454716800,385.25100000000003,411.4218317789098,359.0801682210903
36,2016-02-07,375.44,379.81,377.49,373.24,4164.50911131,1454803200,384.881,411.27011510452735,358.4918848954726
37,2016-02-08,377.47,379.35,371.14,370.5,7094.20857777,1454889600,384.6745,411.4233986502247,357.9256013497753
38,2016-02-09,371.02,374.93,372.68,370.13,8424.5942075,1454976000,382.3815,404.6047169363482,360.1582830636518
39,2016-02-10,372.76,383.34,378.44,371.87,9736.03682475,1455062400,380.83450000000005,399.31751433749366,362.35148566250643
40,2016-02-11,378.49,379.5,378.23,360.0,10413.06371586,1455148800,380.601,399.0917316242488,362.1102683757512
41,2016-02-12,378.23,382.05,382.05,377.46,6162.21762337,1455235200,380.32849999999996,398.5633789686138,362.09362103138614
42,2016-02-13,382.05,396.0,391.0,381.99,5978.85647171,1455321600,379.726,395.5557711922818,363.8962288077182
43,2016-02-14,391.0,406.92,406.59,391.0,7557.25485027,1455408000,380.4855,399.59970254679735,361.37129745320266
44,2016-02-15,406.62,409.09,398.95,394.03,6568.48538284,1455494400,380.856,401.06864000569925,360.64335999430074
45,2016-02-16,398.94,407.5,407.42,390.0,5649.43557069,1455580800,381.4875,404.0541478458808,358.92085215411925
